noise_model,display_name,category,operator,round,replicate_idx,fidelity,p_spam,recovery_mode,shots,num_replicates,distance,signed_fidelity
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,10,0.896,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,11,0.898,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,12,0.887,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,13,0.899,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,14,0.889,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,15,0.886,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,16,0.912,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,17,0.902,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,18,0.901,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,19,0.891,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,20,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,21,0.876,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,22,0.878,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,23,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,24,0.905,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,25,0.918,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,26,0.902,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,27,0.901,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,28,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,29,0.893,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,0,0.922,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,1,0.902,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,2,0.896,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,3,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,4,0.896,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,5,0.891,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,6,0.896,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,7,0.905,0.001339,final_round,2000,30,3,
