CodeFamily,Category,Label,Operator,Toggle
surface,Stabilizer,S_70,X137 X147 X148 X158,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z11 Z20 Z32 Z41 Z53 Z62 Z74 Z83 Z95 Z104 Z116 Z125 Z137 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_71,X138 X148 X149 X159,Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z12 Z20 Z33 Z41 Z54 Z62 Z75 Z83 Z96 Z104 Z117 Z125 Z138 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_72,X139 X149 X150 X160,Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z13 Z20 Z34 Z41 Z55 Z62 Z76 Z83 Z97 Z104 Z118 Z125 Z139 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_73,X140 X150 X151 X161,Z4 Z5 Z6 Z7 Z8 Z9 Z14 Z20 Z35 Z41 Z56 Z62 Z77 Z83 Z98 Z104 Z119 Z125 Z140 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_74,X141 X151 X152 X162,Z5 Z6 Z7 Z8 Z9 Z15 Z20 Z36 Z41 Z57 Z62 Z78 Z83 Z99 Z104 Z120 Z125 Z141 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_75,X142 X152 X153 X163,Z6 Z7 Z8 Z9 Z16 Z20 Z37 Z41 Z58 Z62 Z79 Z83 Z100 Z104 Z121 Z125 Z142 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_76,X143 X153 X154 X164,Z7 Z8 Z9 Z17 Z20 Z38 Z41 Z59 Z62 Z80 Z83 Z101 Z104 Z122 Z125 Z143 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_77,X144 X154 X155 X165,Z8 Z9 Z18 Z20 Z39 Z41 Z60 Z62 Z81 Z83 Z102 Z104 Z123 Z125 Z144 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_78,X145 X155 X156 X166,Z9 Z19 Z20 Z40 Z41 Z61 Z62 Z82 Z83 Z103 Z104 Z124 Z125 Z145 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_79,X146 X156 X157 X167,Z167 Z188 Z209 Z220
surface,Stabilizer,S_80,X158 X168 X169 X179,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z11 Z20 Z32 Z41 Z53 Z62 Z74 Z83 Z95 Z104 Z116 Z125 Z137 Z146 Z158 Z167 Z188 Z209 Z220
surface,Stabilizer,S_81,X159 X169 X170 X180,Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z12 Z20 Z33 Z41 Z54 Z62 Z75 Z83 Z96 Z104 Z117 Z125 Z138 Z146 Z159 Z167 Z188 Z209 Z220
surface,Stabilizer,S_82,X160 X170 X171 X181,Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z13 Z20 Z34 Z41 Z55 Z62 Z76 Z83 Z97 Z104 Z118 Z125 Z139 Z146 Z160 Z167 Z188 Z209 Z220
surface,Stabilizer,S_83,X161 X171 X172 X182,Z4 Z5 Z6 Z7 Z8 Z9 Z14 Z20 Z35 Z41 Z56 Z62 Z77 Z83 Z98 Z104 Z119 Z125 Z140 Z146 Z161 Z167 Z188 Z209 Z220
surface,Stabilizer,S_84,X162 X172 X173 X183,Z5 Z6 Z7 Z8 Z9 Z15 Z20 Z36 Z41 Z57 Z62 Z78 Z83 Z99 Z104 Z120 Z125 Z141 Z146 Z162 Z167 Z188 Z209 Z220
surface,Stabilizer,S_85,X163 X173 X174 X184,Z6 Z7 Z8 Z9 Z16 Z20 Z37 Z41 Z58 Z62 Z79 Z83 Z100 Z104 Z121 Z125 Z142 Z146 Z163 Z167 Z188 Z209 Z220
surface,Stabilizer,S_86,X164 X174 X175 X185,Z7 Z8 Z9 Z17 Z20 Z38 Z41 Z59 Z62 Z80 Z83 Z101 Z104 Z122 Z125 Z143 Z146 Z164 Z167 Z188 Z209 Z220
surface,Stabilizer,S_87,X165 X175 X176 X186,Z8 Z9 Z18 Z20 Z39 Z41 Z60 Z62 Z81 Z83 Z102 Z104 Z123 Z125 Z144 Z146 Z165 Z167 Z188 Z209 Z220
surface,Stabilizer,S_88,X166 X176 X177 X187,Z9 Z19 Z20 Z40 Z41 Z61 Z62 Z82 Z83 Z103 Z104 Z124 Z125 Z145 Z146 Z166 Z167 Z188 Z209 Z220
surface,Stabilizer,S_89,X167 X177 X178 X188,Z188 Z209 Z220
surface,Stabilizer,S_90,X179 X189 X190 X200,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z11 Z20 Z32 Z41 Z53 Z62 Z74 Z83 Z95 Z104 Z116 Z125 Z137 Z146 Z158 Z167 Z179 Z188 Z209 Z220
surface,Stabilizer,S_91,X180 X190 X191 X201,Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z12 Z20 Z33 Z41 Z54 Z62 Z75 Z83 Z96 Z104 Z117 Z125 Z138 Z146 Z159 Z167 Z180 Z188 Z209 Z220
surface,Stabilizer,S_92,X181 X191 X192 X202,Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z13 Z20 Z34 Z41 Z55 Z62 Z76 Z83 Z97 Z104 Z118 Z125 Z139 Z146 Z160 Z167 Z181 Z188 Z209 Z220
surface,Stabilizer,S_93,X182 X192 X193 X203,Z4 Z5 Z6 Z7 Z8 Z9 Z14 Z20 Z35 Z41 Z56 Z62 Z77 Z83 Z98 Z104 Z119 Z125 Z140 Z146 Z161 Z167 Z182 Z188 Z209 Z220
surface,Stabilizer,S_94,X183 X193 X194 X204,Z5 Z6 Z7 Z8 Z9 Z15 Z20 Z36 Z41 Z57 Z62 Z78 Z83 Z99 Z104 Z120 Z125 Z141 Z146 Z162 Z167 Z183 Z188 Z209 Z220
surface,Stabilizer,S_95,X184 X194 X195 X205,Z6 Z7 Z8 Z9 Z16 Z20 Z37 Z41 Z58 Z62 Z79 Z83 Z100 Z104 Z121 Z125 Z142 Z146 Z163 Z167 Z184 Z188 Z209 Z220
surface,Stabilizer,S_96,X185 X195 X196 X206,Z7 Z8 Z9 Z17 Z20 Z38 Z41 Z59 Z62 Z80 Z83 Z101 Z104 Z122 Z125 Z143 Z146 Z164 Z167 Z185 Z188 Z209 Z220
surface,Stabilizer,S_97,X186 X196 X197 X207,Z8 Z9 Z18 Z20 Z39 Z41 Z60 Z62 Z81 Z83 Z102 Z104 Z123 Z125 Z144 Z146 Z165 Z167 Z186 Z188 Z209 Z220
surface,Stabilizer,S_98,X187 X197 X198 X208,Z9 Z19 Z20 Z40 Z41 Z61 Z62 Z82 Z83 Z103 Z104 Z124 Z125 Z145 Z146 Z166 Z167 Z187 Z188 Z209 Z220
surface,Stabilizer,S_99,X188 X198 X199 X209,Z209 Z220
surface,Stabilizer,S_100,X200 X210 X211,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z11 Z20 Z32 Z41 Z53 Z62 Z74 Z83 Z95 Z104 Z116 Z125 Z137 Z146 Z158 Z167 Z179 Z188 Z200 Z209 Z220
surface,Stabilizer,S_101,X201 X211 X212,Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z12 Z20 Z33 Z41 Z54 Z62 Z75 Z83 Z96 Z104 Z117 Z125 Z138 Z146 Z159 Z167 Z180 Z188 Z201 Z209 Z220
surface,Stabilizer,S_102,X202 X212 X213,Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z13 Z20 Z34 Z41 Z55 Z62 Z76 Z83 Z97 Z104 Z118 Z125 Z139 Z146 Z160 Z167 Z181 Z188 Z202 Z209 Z220
surface,Stabilizer,S_103,X203 X213 X214,Z4 Z5 Z6 Z7 Z8 Z9 Z14 Z20 Z35 Z41 Z56 Z62 Z77 Z83 Z98 Z104 Z119 Z125 Z140 Z146 Z161 Z167 Z182 Z188 Z203 Z209 Z220
surface,Stabilizer,S_104,X204 X214 X215,Z5 Z6 Z7 Z8 Z9 Z15 Z20 Z36 Z41 Z57 Z62 Z78 Z83 Z99 Z104 Z120 Z125 Z141 Z146 Z162 Z167 Z183 Z188 Z204 Z209 Z220
surface,Stabilizer,S_105,X205 X215 X216,Z6 Z7 Z8 Z9 Z16 Z20 Z37 Z41 Z58 Z62 Z79 Z83 Z100 Z104 Z121 Z125 Z142 Z146 Z163 Z167 Z184 Z188 Z205 Z209 Z220
surface,Stabilizer,S_106,X206 X216 X217,Z7 Z8 Z9 Z17 Z20 Z38 Z41 Z59 Z62 Z80 Z83 Z101 Z104 Z122 Z125 Z143 Z146 Z164 Z167 Z185 Z188 Z206 Z209 Z220
surface,Stabilizer,S_107,X207 X217 X218,Z8 Z9 Z18 Z20 Z39 Z41 Z60 Z62 Z81 Z83 Z102 Z104 Z123 Z125 Z144 Z146 Z165 Z167 Z186 Z188 Z207 Z209 Z220
surface,Stabilizer,S_108,X208 X218 X219,Z9 Z19 Z20 Z40 Z41 Z61 Z62 Z82 Z83 Z103 Z104 Z124 Z125 Z145 Z146 Z166 Z167 Z187 Z188 Z208 Z209 Z220
surface,Stabilizer,S_109,X209 X219 X220,Z220
surface,Stabilizer,S_110,Z0 Z11 Z21,X21 X42 X63 X84 X105 X126 X147 X168 X189 X210
surface,Stabilizer,S_111,Z1 Z11 Z12 Z22,X22 X43 X64 X85 X106 X127 X148 X169 X190 X211
surface,Stabilizer,S_112,Z2 Z12 Z13 Z23,X23 X44 X65 X86 X107 X128 X149 X170 X191 X212
surface,Stabilizer,S_113,Z3 Z13 Z14 Z24,X24 X45 X66 X87 X108 X129 X150 X171 X192 X213
surface,Stabilizer,S_114,Z4 Z14 Z15 Z25,X25 X46 X67 X88 X109 X130 X151 X172 X193 X214
surface,Stabilizer,S_115,Z5 Z15 Z16 Z26,X26 X47 X68 X89 X110 X131 X152 X173 X194 X215
surface,Stabilizer,S_116,Z6 Z16 Z17 Z27,X27 X48 X69 X90 X111 X132 X153 X174 X195 X216
surface,Stabilizer,S_117,Z7 Z17 Z18 Z28,X28 X49 X70 X91 X112 X133 X154 X175 X196 X217
surface,Stabilizer,S_118,Z8 Z18 Z19 Z29,X29 X50 X71 X92 X113 X134 X155 X176 X197 X218
surface,Stabilizer,S_119,Z9 Z19 Z20 Z30,X30 X51 X72 X93 X114 X135 X156 X177 X198 X219
surface,Stabilizer,S_120,Z10 Z20 Z31,X10
surface,Stabilizer,S_121,Z21 Z32 Z42,X42 X63 X84 X105 X126 X147 X168 X189 X210
surface,Stabilizer,S_122,Z22 Z32 Z33 Z43,X43 X64 X85 X106 X127 X148 X169 X190 X211
surface,Stabilizer,S_123,Z23 Z33 Z34 Z44,X44 X65 X86 X107 X128 X149 X170 X191 X212
surface,Stabilizer,S_124,Z24 Z34 Z35 Z45,X45 X66 X87 X108 X129 X150 X171 X192 X213
surface,Stabilizer,S_125,Z25 Z35 Z36 Z46,X46 X67 X88 X109 X130 X151 X172 X193 X214
surface,Stabilizer,S_126,Z26 Z36 Z37 Z47,X47 X68 X89 X110 X131 X152 X173 X194 X215
surface,Stabilizer,S_127,Z27 Z37 Z38 Z48,X48 X69 X90 X111 X132 X153 X174 X195 X216
